지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd)
168,여수,2023-01,3.2,18.4,-11.4,20230113,20230125
168,여수,2023-02,5.6,14.7,-3.4,20230224,20230221
168,여수,2023-03,11.2,23.4,.3,20230331,20230303
168,여수,2023-04,14.3,23.2,4.2,20230421,20230408
168,여수,2023-05,17.9,25.5,10.7,20230521,20230509
168,여수,2023-06,22.2,29,16.5,20230602,20230601
168,여수,2023-07,25,32.4,20.8,20230731,20230708
168,여수,2023-08,27.5,33.9,22.8,20230807,20230831
168,여수,2023-09,24.7,30.6,18,20230904,20230930
168,여수,2023-10,18,25.3,9.3,20231004,20231021
168,여수,2023-11,10.9,24,-1,20231103,20231125
168,여수,2023-12,5.7,18.2,-7.5,20231209,20231222
168,여수,2024-01,4.2,13.2,-6.3,20240114,20240123
168,여수,2024-02,6.6,18.1,-.3,20240219,20240208
168,여수,2024-03,9,19.7,-4.4,20240323,20240302
168,여수,2024-04,15.4,23.7,9.8,20240427,20240401
168,여수,2024-05,18.5,28.8,10.8,20240520,20240516
168,여수,2024-06,22.4,31.1,16.7,20240618,20240602
168,여수,2024-07,25.8,33.3,21.8,20240730,20240713
168,여수,2024-08,28.9,34.2,24.2,20240830,20240831
168,여수,2024-09,26.9,33.8,19.1,20240917,20240924
168,여수,2024-10,19.2,27.9,10.7,20241001,20241024
168,여수,2024-11,13.2,22.4,3.4,20241116,20241128
168,여수,2024-12,5.2,16.6,-2.5,20241202,20241219
168,여수,2025-01,3.2,12,-8.4,20250124,20250110
168,여수,2025-02,1.9,14.9,-7.2,20250228,20250208
168,여수,2025-03,8.9,22.2,.4,20250322,20250319
168,여수,2025-04,13.6,24.1,4.8,20250428,20250413
168,여수,2025-05,17.1,25,9.4,20250529,20250504
168,여수,2025-06,22.2,30,16.1,20250630,20250602
168,여수,2025-07,27.3,33.3,21.6,20250707,20250714
168,여수,2025-08,27.7,33.4,20.8,20250817,20250812
168,여수,2025-09,24.9,32.2,19,20250904,20250930
168,여수,2025-10,19.5,28.2,7.7,20251012,20251028
168,여수,2025-11,12,20.4,3.9,20251107,20251118
168,여수,2025-12,6.1,16.1,-6.1,20251211,20251226
168,여수,2026-01,1.8,16.8,-6.8,20260115,20260122
